interview__key	interview__id	Vegetable_roster__id	vegetable_measure__1	vegetable_measure__2	vegetable_measure__3	vegetable_measure__4	vegetable_measure__5	vegetable_measure__6
20-25-44-09	ec74d92bc3804d3faab97ab44705fa63	9	1	0	0	0	0	0
66-18-15-69	2229d8b0b9f049e59938da57cbec81d8	9	1	0	0	0	0	0
81-55-08-73	04b0e242d3e6455dbedbec4e0f8f2216	4	0	0	0	0	1	0
81-55-08-73	04b0e242d3e6455dbedbec4e0f8f2216	8	0	1	0	0	1	0
64-56-12-31	3fe92c3446ac4ac8aa48a6f446d0ae0b	7	0	0	0	0	1	0
64-56-12-31	3fe92c3446ac4ac8aa48a6f446d0ae0b	9	1	0	0	0	0	0
92-88-53-77	1046512749af4b69b4234d285bbfe68c	5	0	1	0	0	0	0
92-88-53-77	1046512749af4b69b4234d285bbfe68c	12	1	0	0	0	0	0
92-88-53-77	1046512749af4b69b4234d285bbfe68c	14	1	0	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	1	0	1	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	3	0	1	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	9	1	0	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	13	1	0	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	14	1	0	0	0	0	0
20-94-58-21	a657d52fbf05481483654ad75b27f352	15	0	0	0	0	1	0
04-81-88-74	d2fdea608c58450989cb7868e2adcaa4	4	0	0	0	0	1	0
85-20-11-22	68cb8cc4b9a34842a9b3a055e31d35fb	12	1	0	0	0	0	0
50-19-78-12	593bcfdc91674158a195af5cc533aa33	14	1	0	0	0	0	0
82-90-67-91	3e6d7de0cf914153b603db8cf681665a	9	1	0	0	0	0	0
82-90-67-91	3e6d7de0cf914153b603db8cf681665a	12	1	0	0	0	0	0
55-89-85-60	e71e15a57d6c403f9eb826803d6f190d	8	0	0	0	0	1	0
55-89-85-60	e71e15a57d6c403f9eb826803d6f190d	9	1	0	0	0	0	0
04-00-36-70	79c7cad8195e4a3c8e98b8c6790cfd4d	1	0	1	0	0	0	0
04-00-36-70	79c7cad8195e4a3c8e98b8c6790cfd4d	4	0	0	0	0	1	0
74-91-57-61	6f60845cab7547b6b711580b89cd9050	1	0	1	0	0	0	0
74-91-57-61	6f60845cab7547b6b711580b89cd9050	14	1	0	0	0	0	0
37-31-30-01	511e0d953d284842b047ec6b1329448d	8	0	0	0	0	1	0
37-31-30-01	511e0d953d284842b047ec6b1329448d	9	1	0	0	0	0	0
37-31-30-01	511e0d953d284842b047ec6b1329448d	12	1	0	0	0	0	0
37-31-30-01	511e0d953d284842b047ec6b1329448d	14	1	0	0	0	0	0
56-10-84-59	cd67cd9597b34f6996647dd410e6c196	4	0	0	0	0	1	0
56-10-84-59	cd67cd9597b34f6996647dd410e6c196	6	0	1	0	0	0	0
56-10-84-59	cd67cd9597b34f6996647dd410e6c196	9	0	1	0	0	0	0
81-89-88-91	d91da20c758b429296092a31a66f1a4d	4	0	0	0	0	1	0
81-89-88-91	d91da20c758b429296092a31a66f1a4d	13	1	0	0	0	0	0
81-89-88-91	d91da20c758b429296092a31a66f1a4d	14	1	0	0	0	0	0
66-53-66-79	f6ea4dd39f0f45858224b587f5c743a6	6	0	1	0	0	0	0
66-53-66-79	f6ea4dd39f0f45858224b587f5c743a6	7	0	0	0	0	1	0
66-53-66-79	f6ea4dd39f0f45858224b587f5c743a6	8	0	0	0	0	1	0
66-53-66-79	f6ea4dd39f0f45858224b587f5c743a6	9	1	0	0	0	0	0
66-53-66-79	f6ea4dd39f0f45858224b587f5c743a6	14	1	0	0	0	0	0
30-04-48-68	c2cc9d9940d6438ca6ae0d20f5ed6d8f	8	0	1	0	0	0	0
30-04-48-68	c2cc9d9940d6438ca6ae0d20f5ed6d8f	9	1	0	0	0	0	0
44-88-05-93	075438457b8840b49c55242892cfe285	9	1	1	0	0	0	0
49-25-15-26	8a43b9a8e69b4ce2aa6ed2a3d85aebb6	9	1	0	0	0	0	0
40-25-11-79	5be2a3af2e6d49e4a8d960c7b133272f	4	0	0	0	0	1	0
40-25-11-79	5be2a3af2e6d49e4a8d960c7b133272f	7	0	0	0	0	1	0
15-81-01-30	395bb41449bc4040abff6bab46efd22c	9	1	0	0	0	0	0
09-44-99-69	00cd28b45ed749708cb64f24a2e9ddc4	1	0	1	0	0	0	0
09-44-99-69	00cd28b45ed749708cb64f24a2e9ddc4	4	0	0	0	0	1	0
09-44-99-69	00cd28b45ed749708cb64f24a2e9ddc4	5	0	1	0	0	0	0
09-44-99-69	00cd28b45ed749708cb64f24a2e9ddc4	9	1	0	0	0	0	0
17-96-88-62	6c7aff376a7b4493a835a11043ea43a0	9	1	0	0	0	0	0
89-59-61-32	a0c20767983f4679a04bc1ede66b4dad	9	1	0	0	0	0	0
54-30-04-92	de5407551780447db415332e9be6c764	4	0	0	0	0	1	0
54-30-04-92	de5407551780447db415332e9be6c764	9	1	0	0	0	0	0
54-30-04-92	de5407551780447db415332e9be6c764	15	0	0	0	0	1	0
54-30-04-92	de5407551780447db415332e9be6c764	16	0	1	0	0	0	0
96-49-45-16	fe63f0103a824b60891c41f945fee07b	1	0	1	0	0	0	0
96-49-45-16	fe63f0103a824b60891c41f945fee07b	4	0	0	0	0	1	0
96-49-45-16	fe63f0103a824b60891c41f945fee07b	7	0	0	0	0	1	0
96-49-45-16	fe63f0103a824b60891c41f945fee07b	9	1	0	0	0	0	0
93-45-88-93	dd084a5dbbc942d3be7b49ee44ca82fe	9	1	0	0	0	0	0
05-06-94-67	364d9420cbfd409bb471eaad450a3a41	6	0	1	0	0	0	0
05-06-94-67	364d9420cbfd409bb471eaad450a3a41	9	1	0	0	0	0	0
05-06-94-67	364d9420cbfd409bb471eaad450a3a41	12	0	1	0	0	0	0
05-06-94-67	364d9420cbfd409bb471eaad450a3a41	14	1	0	0	0	0	0
47-58-81-78	104c25b1dfbb423ab8a7fb4b18dd9b4d	9	1	0	0	0	0	0
47-58-81-78	104c25b1dfbb423ab8a7fb4b18dd9b4d	12	1	0	0	0	0	0
42-05-97-91	5050ba4f46ed40ff91a1d590a16090ee	13	1	0	0	0	0	0
03-51-30-38	114c618ba3424ef49aba6a5127392c6a	4	0	0	0	0	1	0
03-51-30-38	114c618ba3424ef49aba6a5127392c6a	5	0	1	0	0	0	0
40-34-74-44	01425d69f18d4c7498909bd31a173e4a	4	0	0	0	0	1	0
40-34-74-44	01425d69f18d4c7498909bd31a173e4a	9	1	0	0	0	0	0
40-34-74-44	01425d69f18d4c7498909bd31a173e4a	12	1	0	0	0	0	0
82-75-99-37	f15cb09f87a6468b9d269aeb96b50745	1	0	1	0	0	0	0
82-75-99-37	f15cb09f87a6468b9d269aeb96b50745	9	1	0	0	0	0	0
82-75-99-37	f15cb09f87a6468b9d269aeb96b50745	13	1	0	0	0	0	0
09-82-59-73	43f8e2c93d5842ef949359322eb9cd7f	1	0	1	0	0	0	0
09-82-59-73	43f8e2c93d5842ef949359322eb9cd7f	4	0	0	0	0	1	0
09-82-59-73	43f8e2c93d5842ef949359322eb9cd7f	6	0	1	0	0	0	0
09-82-59-73	43f8e2c93d5842ef949359322eb9cd7f	7	0	0	0	0	1	0
09-82-59-73	43f8e2c93d5842ef949359322eb9cd7f	9	1	0	0	0	0	0
13-43-41-81	0c7f371600d049ee80d920ff8f836a22	9	1	0	0	0	0	0
06-75-95-28	b1da52d75d2d496bbe311b1991fcc7e2	9	1	0	0	0	0	0
06-75-95-28	b1da52d75d2d496bbe311b1991fcc7e2	13	1	0	0	0	0	0
76-53-51-68	1c2539176cf847aea8b8eff78500cc51	9	1	0	0	0	0	0
38-74-25-67	3c1f1cae622b483c9800c2fe2f8d48c7	4	0	0	0	0	1	0
38-74-25-67	3c1f1cae622b483c9800c2fe2f8d48c7	12	1	0	0	0	0	0
54-50-38-89	e220fd8304b2469bb28df3179cfec3c8	1	0	1	0	0	0	0
54-50-38-89	e220fd8304b2469bb28df3179cfec3c8	2	0	1	0	0	0	0
69-15-14-97	d95eec16a5104c9f9d786084963340f7	8	0	1	0	0	0	0
59-06-41-79	ca8c61bef87949399850e96b984478e7	8	0	1	0	0	0	0
59-06-41-79	ca8c61bef87949399850e96b984478e7	9	1	0	0	0	0	0
39-47-30-83	62c0b47682a44e39a4086979362de043	1	0	1	0	0	0	0
39-47-30-83	62c0b47682a44e39a4086979362de043	9	1	0	0	0	0	0
39-47-30-83	62c0b47682a44e39a4086979362de043	12	1	0	0	0	0	0
39-47-30-83	62c0b47682a44e39a4086979362de043	16	0	1	0	0	0	0
30-18-12-50	b08c42a9ea45403a8491a6daaed64ddb	9	1	0	0	0	0	0
30-18-12-50	b08c42a9ea45403a8491a6daaed64ddb	12	1	1	0	0	0	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	1	0	1	0	0	0	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	2	0	1	0	0	0	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	4	0	0	0	0	1	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	9	0	1	0	0	0	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	12	0	1	0	0	0	0
67-38-44-18	48f6dfb0f8bf40f09d276afdc9ac3dbb	13	1	0	0	0	0	0
65-18-86-72	9e5b9b7db5de4912abe6e158bede5cea	9	1	1	0	0	0	0
78-05-74-62	3a5ccd1cadeb460f8ea09533ba8f0161	5	0	1	0	0	0	0
78-05-74-62	3a5ccd1cadeb460f8ea09533ba8f0161	7	0	0	0	0	1	0
78-05-74-62	3a5ccd1cadeb460f8ea09533ba8f0161	8	0	0	0	0	1	0
72-26-89-48	1538112535d94163952c7253701dc114	1	0	1	0	0	0	0
72-26-89-48	1538112535d94163952c7253701dc114	4	0	0	0	0	1	0
72-26-89-48	1538112535d94163952c7253701dc114	5	0	1	0	0	0	0
04-43-67-46	c053ae8426df43cfabf65a07a34038f3	1	0	1	0	0	0	0
04-43-67-46	c053ae8426df43cfabf65a07a34038f3	5	0	1	0	0	0	0
04-43-67-46	c053ae8426df43cfabf65a07a34038f3	7	0	0	0	0	1	0
04-43-67-46	c053ae8426df43cfabf65a07a34038f3	8	0	1	0	0	1	0
04-43-67-46	c053ae8426df43cfabf65a07a34038f3	9	1	0	0	0	0	0
93-57-69-91	8628afe21f2e4295a20112238aed23f8	4	0	0	0	0	1	0
93-57-69-91	8628afe21f2e4295a20112238aed23f8	7	0	0	0	0	1	0
93-57-69-91	8628afe21f2e4295a20112238aed23f8	12	1	0	0	0	0	0
87-58-64-97	c21752c112a548c584c96353e292cd9d	1	0	1	0	0	0	0
87-58-64-97	c21752c112a548c584c96353e292cd9d	2	0	1	0	0	0	0
87-58-64-97	c21752c112a548c584c96353e292cd9d	9	1	0	0	0	0	0
87-58-64-97	c21752c112a548c584c96353e292cd9d	12	1	0	0	0	0	0
87-58-64-97	c21752c112a548c584c96353e292cd9d	16	0	1	0	0	0	0
66-69-50-58	e3bbfa9a3b2242fc89eb2c8d6d2884c5	9	1	0	0	0	0	0
66-69-50-58	e3bbfa9a3b2242fc89eb2c8d6d2884c5	12	0	1	0	0	0	0
66-69-50-58	e3bbfa9a3b2242fc89eb2c8d6d2884c5	13	1	0	0	0	0	0
33-82-16-97	28218dc5e7994ad6b81f1f0750fdca45	1	0	1	0	0	0	0
33-82-16-97	28218dc5e7994ad6b81f1f0750fdca45	4	0	0	0	0	1	0
88-07-79-91	d2d0bce564094388ba8009d8778facde	1	0	1	0	0	0	0
88-07-79-91	d2d0bce564094388ba8009d8778facde	4	0	0	0	0	1	0
88-07-79-91	d2d0bce564094388ba8009d8778facde	5	0	1	0	0	0	0
88-07-79-91	d2d0bce564094388ba8009d8778facde	8	0	1	0	0	0	0
88-07-79-91	d2d0bce564094388ba8009d8778facde	12	1	0	0	0	0	0
18-56-32-93	8165f9a92cce4bd6b5bcffcc78c6e091	5	0	1	0	0	0	0
12-28-68-21	1c53d44f1078413eb49a44ff181d8f0d	7	0	0	0	0	1	0
89-37-28-49	456d38198d914a039cada59fd5f0d7ab	1	0	1	0	0	0	0
89-37-28-49	456d38198d914a039cada59fd5f0d7ab	5	0	1	0	0	0	0
89-37-28-49	456d38198d914a039cada59fd5f0d7ab	7	0	0	0	0	1	0
71-20-00-66	fba6a5df58324628b1851ed464f96601	12	0	0	1	0	0	0
57-09-78-79	bc7bfb0b17eb4ada80df74e6497f9caa	4	0	0	0	0	1	0
57-09-78-79	bc7bfb0b17eb4ada80df74e6497f9caa	9	0	0	1	0	0	0
11-16-76-56	cf6e080278804a988ab935fc3d3c1dce	9	0	0	1	0	0	0
11-16-76-56	cf6e080278804a988ab935fc3d3c1dce	12	0	0	1	0	0	0
42-00-48-09	d7c92496759f42e8b1d9d3fac31ed580	1	0	1	0	0	0	0
42-00-48-09	d7c92496759f42e8b1d9d3fac31ed580	9	0	0	1	0	0	0
42-00-48-09	d7c92496759f42e8b1d9d3fac31ed580	12	0	0	1	0	0	0
85-71-73-23	62517003bf9344f7af8e2b8d6f6db577	12	0	0	1	0	0	0
56-63-15-15	51ed3ab7700b43358ec7393947d72aa6	9	0	0	1	0	0	0
23-03-58-67	66e8d0bbdbad480789ab663d1b4f0315	1	0	1	0	0	0	0
23-03-58-67	66e8d0bbdbad480789ab663d1b4f0315	6	0	1	0	0	0	0
23-03-58-67	66e8d0bbdbad480789ab663d1b4f0315	9	0	0	1	0	0	0
47-05-07-83	f740ec5b472c457e857478c39078a97a	9	0	0	1	0	0	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	1	0	1	0	0	0	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	4	0	0	0	0	1	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	5	0	1	0	0	0	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	7	0	0	0	0	1	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	9	0	0	1	0	0	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	12	0	0	1	0	0	0
98-64-54-41	fc0e0a0845c44f9aaa930ad3e67e11f7	13	0	0	0	0	1	0
36-50-14-31	4b4a9af6a71a45319bc8bc4a006812b2	5	0	1	0	0	0	0
70-53-70-31	cf5d1abfd7c346a0aa13f1c0dbc5a1a0	13	0	0	0	0	1	0
91-55-75-77	ddfc892403494aeea1257bb8aa9a2a9d	5	0	1	0	0	0	0
60-22-64-68	3eba7fb1bbde42a08b2bb4c462c8a5a4	12	0	0	1	0	0	0
97-11-13-67	b529497e261240d69878432eabba342a	7	0	0	0	0	1	0
99-29-39-67	3fb854378da14077bb2a8c9037f4b96a	9	0	0	1	0	0	0
99-29-39-67	3fb854378da14077bb2a8c9037f4b96a	12	0	0	1	0	0	0
88-64-55-06	583bb2613fbb4fb98a7decd9cb12d98a	7	0	0	0	0	1	0
90-37-89-98	73f9a05515ea48b0ad396c0b09c668b3	4	0	0	0	0	1	0
90-37-89-98	73f9a05515ea48b0ad396c0b09c668b3	13	0	0	0	0	1	0
07-62-27-71	2877ef7ba7ed4df095148d1b25fce86b	1	0	1	0	0	0	0
07-62-27-71	2877ef7ba7ed4df095148d1b25fce86b	4	0	0	0	0	1	0
07-62-27-71	2877ef7ba7ed4df095148d1b25fce86b	7	0	0	0	0	1	0
64-69-29-24	e7715f8b312347e89a1057a0d4f5dd60	12	0	0	1	0	0	0
13-68-39-22	c08a00f921744795b4c5995a014b3d36	5	0	1	0	0	0	0
88-00-68-30	585e3b7f01f846d7be7070311e9ddcbf	7	0	0	0	0	1	0
88-00-68-30	585e3b7f01f846d7be7070311e9ddcbf	9	0	0	1	0	0	0
88-00-68-30	585e3b7f01f846d7be7070311e9ddcbf	12	0	0	1	0	0	0
88-00-68-30	585e3b7f01f846d7be7070311e9ddcbf	13	0	0	1	0	0	0
09-85-24-15	9038bac3404f4dc7b143a084263c354a	12	0	0	1	0	0	0
07-72-80-37	6512dde775c3462aa671dc6a4ffb1185	9	0	0	1	0	0	0
04-51-68-63	eb74e5f6238d4681bc3013072d10f8da	1	0	1	0	0	0	0
04-51-68-63	eb74e5f6238d4681bc3013072d10f8da	5	0	1	0	0	0	0
04-51-68-63	eb74e5f6238d4681bc3013072d10f8da	6	0	1	0	0	0	0
04-51-68-63	eb74e5f6238d4681bc3013072d10f8da	12	0	0	1	0	0	0
04-51-68-63	eb74e5f6238d4681bc3013072d10f8da	13	0	0	0	0	1	0
46-88-90-25	52daf58a0dad4dedacb588ae213b5fc1	1	0	1	0	0	0	0
18-89-01-66	37bab2a6a482436a8808284bc1c627ea	7	0	0	0	0	1	0
32-35-85-84	e9843e80392c46fcbbd4b1267c2c346d	7	0	0	0	0	1	0
32-35-85-84	e9843e80392c46fcbbd4b1267c2c346d	9	0	0	1	0	0	0
54-31-39-65	b2d4c04f34f24d6ab077b62d2dec00cf	4	0	0	0	0	1	0
54-31-39-65	b2d4c04f34f24d6ab077b62d2dec00cf	9	0	0	1	0	0	0
99-15-71-01	21af1a17c7d24b2f8ba8ad3c3afb55b2	4	0	0	0	0	1	0
99-15-71-01	21af1a17c7d24b2f8ba8ad3c3afb55b2	12	0	0	1	0	0	0
33-39-07-41	6240717f25b1415483f940fb56127606	4	0	0	0	0	1	0
33-39-07-41	6240717f25b1415483f940fb56127606	6	0	1	0	0	0	0
33-39-07-41	6240717f25b1415483f940fb56127606	7	0	0	0	0	1	0
33-39-07-41	6240717f25b1415483f940fb56127606	12	1	0	0	0	0	0
33-39-07-41	6240717f25b1415483f940fb56127606	14	1	0	0	0	0	0
87-55-97-01	4b084590213b441ab9f3acf613d26010	1	0	1	0	0	0	0
87-55-97-01	4b084590213b441ab9f3acf613d26010	9	0	0	1	0	0	0
87-55-97-01	4b084590213b441ab9f3acf613d26010	12	0	0	1	0	0	0
69-60-75-94	bba07ded1bb746d6bdbfb0a8cf5938d5	4	0	0	0	0	1	0
05-97-64-50	b73e58b96b814bc494103a11e4e98555	9	0	0	1	0	0	0
58-00-29-39	afb12302221449fa89ef23a91633601d	4	0	0	0	0	1	0
58-00-29-39	afb12302221449fa89ef23a91633601d	9	1	0	0	0	0	0
58-00-29-39	afb12302221449fa89ef23a91633601d	12	1	0	0	0	0	0
75-15-22-67	42f2ed9757df4547920f7f70da3c85d6	9	0	0	1	0	0	0
78-05-26-16	07d392e2a76d4eca8948dc2e42ac8de4	5	0	1	0	0	0	0
78-05-26-16	07d392e2a76d4eca8948dc2e42ac8de4	9	0	0	1	0	0	0
79-18-28-98	888e494d35a648d89a216301fb79a683	9	0	1	0	0	0	0
79-18-28-98	888e494d35a648d89a216301fb79a683	12	1	0	0	0	0	0
42-01-35-29	662af05020364ee9a0b4f24af57ecf4b	4	0	0	0	0	1	0
01-23-11-78	952343e964654c20831b3dd79997ce3d	9	0	0	1	0	0	0
01-23-11-78	952343e964654c20831b3dd79997ce3d	12	0	0	1	0	0	0
08-83-10-19	61fcec906c8c4540afaf8eaf230d66b9	9	0	0	1	0	0	0
08-83-10-19	61fcec906c8c4540afaf8eaf230d66b9	12	0	0	1	0	0	0
37-63-99-64	567cb414cad040ff9bc343de0c78822b	4	0	0	0	0	1	0
37-63-99-64	567cb414cad040ff9bc343de0c78822b	5	0	1	0	0	0	0
37-63-99-64	567cb414cad040ff9bc343de0c78822b	6	0	1	0	0	0	0
37-63-99-64	567cb414cad040ff9bc343de0c78822b	9	0	0	1	0	0	0
60-23-94-51	35edce83e4bc4ca3acf7494b39617776	9	0	0	1	0	0	0
74-10-18-11	8295e95b25ce43738d6ab2d148884ad7	9	0	0	1	0	0	0
74-10-18-11	8295e95b25ce43738d6ab2d148884ad7	12	0	0	1	0	0	0
64-59-96-63	141c293c702c4ef8853507df46dfb12c	9	0	0	1	0	0	0
64-59-96-63	141c293c702c4ef8853507df46dfb12c	12	0	0	1	0	0	0
48-36-40-35	32213cb5fbd64922bbfa232c04591c75	5	0	1	0	0	0	0
48-36-40-35	32213cb5fbd64922bbfa232c04591c75	9	0	0	1	0	0	0
48-36-40-35	32213cb5fbd64922bbfa232c04591c75	12	0	0	1	0	0	0
93-77-21-79	11be6885f3134b2ba8c5ed00b14bed20	4	0	0	0	0	1	0
66-13-40-56	4be42080901b4f368d18cda69e962232	5	0	1	0	0	0	0
66-13-40-56	4be42080901b4f368d18cda69e962232	6	0	1	0	0	0	0
66-13-40-56	4be42080901b4f368d18cda69e962232	9	0	1	0	0	0	0
66-13-40-56	4be42080901b4f368d18cda69e962232	12	0	0	1	0	0	0
66-13-40-56	4be42080901b4f368d18cda69e962232	13	0	0	0	0	0	1
44-41-73-08	eca5092251aa49718a4e73b8a0a44619	4	0	0	0	0	1	0
19-04-43-26	d2e04cfb904a424a9af3115720b15d09	12	0	0	1	0	0	0
25-13-36-99	b17caa25348243ad826e284160b39202	4	0	0	0	0	1	0
25-13-36-99	b17caa25348243ad826e284160b39202	9	0	0	1	0	0	0
25-13-36-99	b17caa25348243ad826e284160b39202	12	0	0	1	0	0	0
25-13-36-99	b17caa25348243ad826e284160b39202	13	0	0	0	0	1	0
69-23-99-59	ff4fc55f24564cfba12a0aff25b5d1b9	4	0	0	0	0	1	0
69-23-99-59	ff4fc55f24564cfba12a0aff25b5d1b9	9	0	0	1	0	0	0
69-23-99-59	ff4fc55f24564cfba12a0aff25b5d1b9	12	0	0	1	0	0	0
69-23-99-59	ff4fc55f24564cfba12a0aff25b5d1b9	13	0	0	0	0	1	0
32-60-25-11	e834609b31ac4f2baf0e31ef54bf139a	9	0	0	0	0	0	1
75-47-20-82	ee718557cd274b0982e48c783674d21f	6	0	1	0	0	0	0
12-44-41-54	85ab4d79241b437e9d4a68de0cb0f711	4	0	0	0	0	1	0
27-89-10-10	4594e6c6898842faa44bf867c5a570a7	12	0	1	0	0	0	1
75-40-47-90	778141f2ce8243288f45e10ce7a28f9a	1	0	1	0	0	0	0
75-40-47-90	778141f2ce8243288f45e10ce7a28f9a	6	0	1	0	0	0	0
75-40-47-90	778141f2ce8243288f45e10ce7a28f9a	13	0	1	0	0	0	0
75-40-47-90	778141f2ce8243288f45e10ce7a28f9a	15	0	0	0	0	1	0
25-85-63-15	494a082d8c194a0ab27064ec495d9bba	9	0	0	0	0	0	1
25-85-63-15	494a082d8c194a0ab27064ec495d9bba	12	0	0	0	0	0	1
02-35-68-31	80bcd0b6c2dd49969ab3f37be52e0243	4	0	0	0	0	1	0
02-35-68-31	80bcd0b6c2dd49969ab3f37be52e0243	5	0	1	0	0	0	0
02-35-68-31	80bcd0b6c2dd49969ab3f37be52e0243	8	0	1	0	0	0	0
02-35-68-31	80bcd0b6c2dd49969ab3f37be52e0243	9	0	1	0	0	0	1
02-35-68-31	80bcd0b6c2dd49969ab3f37be52e0243	12	0	0	0	0	0	1
44-47-93-50	e6d08c6cbb9648919b26aa4aa476f40f	5	0	1	0	0	0	0
44-47-93-50	e6d08c6cbb9648919b26aa4aa476f40f	7	0	0	0	0	1	0
44-47-93-50	e6d08c6cbb9648919b26aa4aa476f40f	12	0	0	0	0	0	1
93-41-62-01	87d08739308541bd9fac433c9c2f6495	1	0	1	0	0	0	0
93-41-62-01	87d08739308541bd9fac433c9c2f6495	9	0	0	0	0	0	1
93-41-62-01	87d08739308541bd9fac433c9c2f6495	12	0	1	0	0	0	1
46-00-57-01	f90dad36d143466ca4d2db1a9a2c26d5	1	0	1	0	0	0	0
46-00-57-01	f90dad36d143466ca4d2db1a9a2c26d5	9	1	0	0	0	0	0
46-00-57-01	f90dad36d143466ca4d2db1a9a2c26d5	12	1	0	0	0	0	0
28-87-04-59	65c28a7d851f4d04a036cc43cad0cf4c	6	0	1	0	0	0	0
28-87-04-59	65c28a7d851f4d04a036cc43cad0cf4c	9	1	0	0	0	0	0
00-24-79-05	176ba03c3d4e4bb09034d08c003f7aad	1	0	1	0	0	0	0
00-24-79-05	176ba03c3d4e4bb09034d08c003f7aad	4	0	0	0	0	1	0
00-24-79-05	176ba03c3d4e4bb09034d08c003f7aad	5	0	1	0	0	0	0
